record_id,origin,title,date_local,time_local,timezone,venue,neighborhood,borough,host,official_url,registration_url,source_calendars,format,net_signal,icp_score,icp_fit_rationale,confirmed_people_orgs,target_audience,price_currency,access_requirements,observed_registration_status,observation_time,rank_score,rank_tier,remaining_uncertainty,slug,official_desc_snippet,networking_evidence,evidence_level,desc_has_commercial
ECO-yc-app-review-sept26,ecosystem-luma,YC Pitch & Roast by NYC Founders Club & Corgi,2026-09-15,19:00-21:00,America/New_York,Rose Hill (obfuscated),,,NYC Founders Club,,https://luma.com/yc-app-review-sept26,Luma public search (query: founders),GENERAL-TECH,strong,2,GENERAL-TECH,,Not stated (unverified),Free,Registration requires approval,Registration requires approval,2026-09-10 (this pass),4,Excluded-general-tech,Registration status/eligibility not fully verified.,yc-app-review-sept26,"Think you have a good YC application? Think again. Even better, come find out in front of a room full of other founders 👀
Two pre-seed founders get up, pitch,…",pitch,"ecosystem-primary (Luma registration page, 2026-09-10)",yes
ECO-wxew0x7y,ecosystem-luma,Women Founders Social,2026-09-16,17:00-19:30,America/New_York,East Village (obfuscated),,,Tison Events; BuildHer Labs,,https://luma.com/wxew0x7y,Luma public search (query: founders),GENERAL-TECH (not climate-specific),strong,3,GENERAL-TECH (not climate-specific),,Not stated (unverified),Free,Registration/approval required (Luma); eligibility not verified.,Open/free registration,2026-09-10 (this pass),5,Excluded-general-tech,Registration status/eligibility not fully verified.,wxew0x7y,"Looking to connect with your crowd?
BuildHer Labs, Yorkseed, and Tison.io are hosting an evening of genuine connection with no panels, no pitches, just…",connect; pitch,"ecosystem-primary (Luma registration page, 2026-09-10)",yes
ECO-40ce9qfo,ecosystem-luma,Danish Founder Breakfast - Small World Sommerfest,2026-09-17,08:00-10:00,America/New_York,SoHo (obfuscated),,,Small World Capital,,https://luma.com/40ce9qfo,Luma public search (query: founders),GENERAL-TECH (not climate-specific),strong,3,GENERAL-TECH (not climate-specific),,Not stated (unverified),Free,Registration requires approval,Registration requires approval,2026-09-10 (this pass),5,Excluded-general-tech,Registration status/eligibility not fully verified.,40ce9qfo,Just got back from two weeks in Copenhagen. Landed for vacation with no idea it was Copenhagen Tech Week — it really is a small world in Denmark and we ended…,,"ecosystem-primary (Luma registration page, 2026-09-10)",no
ECO-4x1rb3bm,ecosystem-luma,NYC Founders & Operators: Breakfast Club,2026-09-17,08:00-10:00,America/New_York,West Village (obfuscated),,,NYC Founders & Operators,,https://luma.com/4x1rb3bm,Luma public search (query: founders),GENERAL-TECH,strong,3,GENERAL-TECH,,Not stated (unverified),Free,Registration requires approval,Registration requires approval,2026-09-10 (this pass),5,Excluded-general-tech,Registration status/eligibility not fully verified.,4x1rb3bm,"Join us at one of the best cafés in West Village for coffee & co-working with local founders, operators and investors. Whether you're building your first…",,"ecosystem-primary (Luma registration page, 2026-09-10)",yes
ECO-i4p265jc,ecosystem-luma,Founder confessions: Building the right business for you,2026-09-17,16:00-18:00,America/New_York,New York,,,"Founders, Funders, & Fractionals",,https://luma.com/i4p265jc,Luma public search (query: founders),GENERAL-TECH,medium,3,GENERAL-TECH,,Not stated (unverified),Free,Registration requires approval,"Waitlist (Luma page, 2026-09-10)",2026-09-10 (this pass),4,Excluded-general-tech,Registration status/eligibility not fully verified.,i4p265jc,"Building a business that enables the life you want is harder than it looks.
There’s no universal benchmark for founders. It can be hard to know whether you’re…",,"ecosystem-primary (Luma registration page, 2026-09-10)",yes
ECO-d2h0v5qy,ecosystem-luma,Founders After Hours,2026-09-17,20:00-22:00,America/New_York,Lower Manhattan (obfuscated),,,Lillyanna McCue,,https://luma.com/d2h0v5qy,Luma public search (query: founders),GENERAL-TECH,medium,3,GENERAL-TECH,,Not stated (unverified),Free,Registration/approval required (Luma); eligibility not verified.,"Waitlist (Luma page, 2026-09-10)",2026-09-10 (this pass),4,Excluded-general-tech,Registration status/eligibility not fully verified.,d2h0v5qy,"What you’re creating is exciting - and it’s worth getting a whole lot louder about.
This is capped at 30 to make sure the ones in the room are meant to be here…",,"ecosystem-primary (Luma registration page, 2026-09-10)",no
ECO-aec93244,ecosystem-luma,(pre)NY Climate Week Founder Speed Matching,2026-09-18,08:30–10:30,America/New_York,,East Village,,C2FM (Climate Co-Founder Matching),,https://luma.com/aec93244,CTVC guide (luma.com/nycwguide2026),Networking / speed matching,strong,6,Networking / speed matching,,Not stated (unverified),Free (listed ticket),Host approval required; eligibility not independently established.,Registration open; approval required (Luma primary page),2026-09-10T22:13:01.474475+00:00,8,Strong-qualified,Registration status/eligibility not fully verified.,aec93244,"Looking for a co-founder to build a climate startup with? C2FM's founder speed matching format is going NYC-wide for the first time.
Here's how it works:
You'll apply by answering a few quick questions, and C2FM's founder matching algorithm will decide who you are most compatible with as a co-founder.
You'll go through 10 rounds of 5-minute conversations with founders who could be a real fit.
After each round, you mark yes or no on the people you met.
When it's a mutual yes, we make the intro.
This one's built for solo founders looking for a co-founder, operators with the itch to build somethi",,ecosystem-primary (Luma structured event data independently verified 2026-09-10),yes
ECO-l99e5v88,ecosystem-luma,"Climate Tech Demo Series - Collab Fund, Streetlife Ventures",2026-09-21,09:00–11:30,America/New_York,New York (obfuscated),,,Collaborative Fund; Streetlife Ventures,,https://luma.com/l99e5v88,Luma public search (query: climate tech),demo/venture,strong,4,founder/investor demo series (Collab Fund & Streetlife Ventures),,Not stated (unverified),Free (listed ticket),Host approval required; eligibility not independently established.,Registration open; approval required (Luma primary page),2026-09-10T22:13:01.474475+00:00,6,Qualified,Registration status/eligibility not fully verified.,l99e5v88,"Come see the freshest Climate Tech demos.
This NY Climate Week edition of the quarterly Climate Tech Demo Series will feature climate tech startups solving tough urban issues with the most advanced technology. Six startups will do live demos of their technology and share how they build from high performance computing to material science, hardware, and other innovations.
This is not a pitch night, but a chance to go deeper into the tech of climate solutions that can make tangible differences to the livability of our cities and planet. Demos will start at 9:30am:
🔋 Every Electric - Base Power bu",demo,ecosystem-primary (Luma structured event data independently verified 2026-09-10),yes
ECO-pkn0pfug,ecosystem-luma,"Investing in Change: Climate, Biodiversity, and the Agri-Food Future",2026-09-21,13:00-14:30,America/New_York,"Scandinavia House, 58 Park Ave, Murray Hill",,,The Nature Conservancy,,https://luma.com/pkn0pfug,Luma public search (query: climate investor),investor/agri-food,medium,4,investor/agri-food,,Not stated (unverified),Free,Registration requires approval,Registration requires approval,2026-09-10 (this pass),5,Candidate-pending-verification,Registration status/eligibility not fully verified.,pkn0pfug,"Climate change and nature loss are reshaping agricultural production around the world, altering water availability, shifting crop viability, and creating new…",,"ecosystem-primary (Luma registration page, 2026-09-10)",no
ECO-fff-nycw,ecosystem-luma,Female Founders & Funders Gathering @ NY Climate Week,2026-09-21,13:30–16:00,America/New_York,Midtown South (obfuscated),,,Planeteer Capital; Elemental Impact; SE Ventures,,https://luma.com/fff-nycw,Luma public search (query: founders),founder/funder,medium,7,founder/funder,,Not stated (unverified),Free (listed ticket),Host approval required; eligibility not independently established.,Registration open; approval required (Luma primary page),2026-09-10T22:13:01.474475+00:00,8,Strong-qualified,Registration status/eligibility not fully verified.,fff-nycw,"FFF returns to New York for Climate Week's most impactful networking event!
We're bringing together hundreds of venture investors and startup operators across energy, AI, mobility, resilience, food systems, deep tech, and infrastructure... all of whom happen to be women! 🙋‍♀️ 💸
Space is limited - please RSVP to request an invitation.
Hosted at our most epic rooftop venue yet, with a DJ spinning live beats 🪩 Plus, fan-favorite founder speed pitches.
Co-hosted by Planeteer Capital & Earthshot Ventures.
Thank you to our sponsors: SE Ventures, Breakthrough Energy, Elemental Impact, Justworks, East",network,ecosystem-primary (Luma structured event data independently verified 2026-09-10),yes
ECO-h43bxx1f,ecosystem-luma,When AI Meets the Physical World: Reinventing the Infrastructure Behind the Intelligence,2026-09-21,14:00-16:00,America/New_York,Manhattan (obfuscated),,,Climate Investment,,https://luma.com/h43bxx1f,Luma public search (query: climate tech),ai-infrastructure/vc,medium,8,ai-infrastructure/vc,,Not stated (unverified),Free,Registration requires approval,Registration requires approval,2026-09-10 (this pass),9,Candidate-pending-verification,Registration status/eligibility not fully verified.,h43bxx1f,"AI is driving a step-change in demand for power, compute, cooling and critical infrastructure at a time when those systems are already under strain. Grids need…",,"ecosystem-primary (Luma registration page, 2026-09-10)",yes
ECO-tbo854x6,ecosystem-luma,NY Tech Meetup - Climate Tech Edition,2026-09-21,17:00–21:30,America/New_York,"Civic Hall, 124 E 14th St, Union Square",,,NY Tech Alliance; Campus Deep Tech; Columbia,,https://luma.com/tbo854x6,Luma public search (query: climate tech),founders/vc/pitch,medium,9,founder/VC pitch + networking reception,"Panelists: Vanessa Chan (Penn Engineering); Gernot Wagner (Columbia Business School); Anastasia O'Rourke (Carbon Containment Lab / Yale). Judges: Priyanka Bakaya (ARPA-E); Rachel Slaybaugh (DCVC); Noah Sumait (Energy Impact Partners). Hosts: NY Tech Alliance, Campus Deep Tech, Columbia Lenfest Center, Columbia Climate Fund. 6 startup pitches + reception.",Not stated (unverified),USD 20.00 (listed paid ticket; check ticket-specific conditions),Registration available subject to listed capacity/status; eligibility not independently established.,Registration open (Luma primary page),2026-09-10T22:13:01.474475+00:00,10,Strong-qualified,Registration status/eligibility not fully verified. Also on official directory (row CW-0070) but not auto-qualified by the theme/format filter; retained on ecosystem evidence.,tbo854x6,"Join us for the September edition of the NY Tech Meetup, where we’re partnering with Campus Deep Tech.
This NY Tech Meetup includes a few special elements including an expert panel on resilience and the future of climate tech and one of the largest startup pitch competitions during Climate Week NYC.
See the investors that will be in the room listed below!
Each competing startup demoer is developing moonshot innovations originating in university research labs that will help address pressing resilience challenges across:
Climate & Natural Disasters
Energy, Water, Telecom, and AI Infrastructure
I",meetup,ecosystem-primary (Luma structured event data independently verified 2026-09-10),yes
