record_id,origin,title,date_local,time_local,timezone,venue,neighborhood,borough,host,official_url,registration_url,source_calendars,format,net_signal,icp_score,icp_fit_rationale,confirmed_people_orgs,target_audience,price_currency,access_requirements,observed_registration_status,observation_time,rank_score,rank_tier,remaining_uncertainty,slug,official_desc_snippet,networking_evidence,evidence_level,desc_has_commercial
ECO-yc-app-review-sept26,ecosystem-luma,YC Pitch & Roast by NYC Founders Club & Corgi,2026-09-15,19:00-21:00,America/New_York,Rose Hill (obfuscated),,,NYC Founders Club,,https://luma.com/yc-app-review-sept26,Luma public search (query: founders),GENERAL-TECH,strong,2,GENERAL-TECH,,Not stated (unverified),Free,Registration requires approval,Registration requires approval,2026-09-10 (this pass),4,Excluded-general-tech,Registration status/eligibility not fully verified.,yc-app-review-sept26,"Think you have a good YC application? Think again. Even better, come find out in front of a room full of other founders 👀
Two pre-seed founders get up, pitch,…",pitch,"ecosystem-primary (Luma registration page, 2026-09-10)",yes
ECO-wxew0x7y,ecosystem-luma,Women Founders Social,2026-09-16,17:00-19:30,America/New_York,East Village (obfuscated),,,Tison Events; BuildHer Labs,,https://luma.com/wxew0x7y,Luma public search (query: founders),GENERAL-TECH (not climate-specific),strong,3,GENERAL-TECH (not climate-specific),,Not stated (unverified),Free,Registration/approval required (Luma); eligibility not verified.,Open/free registration,2026-09-10 (this pass),5,Excluded-general-tech,Registration status/eligibility not fully verified.,wxew0x7y,"Looking to connect with your crowd?
BuildHer Labs, Yorkseed, and Tison.io are hosting an evening of genuine connection with no panels, no pitches, just…",connect; pitch,"ecosystem-primary (Luma registration page, 2026-09-10)",yes
ECO-40ce9qfo,ecosystem-luma,Danish Founder Breakfast - Small World Sommerfest,2026-09-17,08:00-10:00,America/New_York,SoHo (obfuscated),,,Small World Capital,,https://luma.com/40ce9qfo,Luma public search (query: founders),GENERAL-TECH (not climate-specific),strong,3,GENERAL-TECH (not climate-specific),,Not stated (unverified),Free,Registration requires approval,Registration requires approval,2026-09-10 (this pass),5,Excluded-general-tech,Registration status/eligibility not fully verified.,40ce9qfo,Just got back from two weeks in Copenhagen. Landed for vacation with no idea it was Copenhagen Tech Week — it really is a small world in Denmark and we ended…,,"ecosystem-primary (Luma registration page, 2026-09-10)",no
ECO-4x1rb3bm,ecosystem-luma,NYC Founders & Operators: Breakfast Club,2026-09-17,08:00-10:00,America/New_York,West Village (obfuscated),,,NYC Founders & Operators,,https://luma.com/4x1rb3bm,Luma public search (query: founders),GENERAL-TECH,strong,3,GENERAL-TECH,,Not stated (unverified),Free,Registration requires approval,Registration requires approval,2026-09-10 (this pass),5,Excluded-general-tech,Registration status/eligibility not fully verified.,4x1rb3bm,"Join us at one of the best cafés in West Village for coffee & co-working with local founders, operators and investors. Whether you're building your first…",,"ecosystem-primary (Luma registration page, 2026-09-10)",yes
ECO-i4p265jc,ecosystem-luma,Founder confessions: Building the right business for you,2026-09-17,16:00-18:00,America/New_York,New York,,,"Founders, Funders, & Fractionals",,https://luma.com/i4p265jc,Luma public search (query: founders),GENERAL-TECH,medium,3,GENERAL-TECH,,Not stated (unverified),Free,Registration requires approval,"Waitlist (Luma page, 2026-09-10)",2026-09-10 (this pass),4,Excluded-general-tech,Registration status/eligibility not fully verified.,i4p265jc,"Building a business that enables the life you want is harder than it looks.
There’s no universal benchmark for founders. It can be hard to know whether you’re…",,"ecosystem-primary (Luma registration page, 2026-09-10)",yes
ECO-d2h0v5qy,ecosystem-luma,Founders After Hours,2026-09-17,20:00-22:00,America/New_York,Lower Manhattan (obfuscated),,,Lillyanna McCue,,https://luma.com/d2h0v5qy,Luma public search (query: founders),GENERAL-TECH,medium,3,GENERAL-TECH,,Not stated (unverified),Free,Registration/approval required (Luma); eligibility not verified.,"Waitlist (Luma page, 2026-09-10)",2026-09-10 (this pass),4,Excluded-general-tech,Registration status/eligibility not fully verified.,d2h0v5qy,"What you’re creating is exciting - and it’s worth getting a whole lot louder about.
This is capped at 30 to make sure the ones in the room are meant to be here…",,"ecosystem-primary (Luma registration page, 2026-09-10)",no
ECO-kxgknkyb,ecosystem-luma,"The State of Climate Storytelling: Media Panel with the Financial Times, Washington Post and Canary Media",2026-09-23,10:40-11:25,America/New_York,"LUME Studios, 393 Broadway, Lower Manhattan",,,Antenna Group,,https://luma.com/kxgknkyb,Luma public search (query: climate week),media/climate-communications,medium,4,media/climate-communications,,Not stated (unverified),Free,Registration requires approval,Registration requires approval,2026-09-10 (this pass),5,Excluded-non-commercial,Registration status/eligibility not fully verified. Also on official directory (row CW-0461) but not auto-qualified by the theme/format filter; retained on ecosystem evidence.,kxgknkyb,"Has climate storytelling entered a new phase amidst the virtual disappearance of ""net zero"" goals and a more uncertain period for electrification,…",,"ecosystem-primary (Luma registration page, 2026-09-10)",no
ECO-adsrzpdf,ecosystem-luma,NYC Founders Social Mix,2026-09-29,18:30-21:30,America/New_York,Midtown Manhattan (obfuscated),,,Nebula Founders,,https://luma.com/adsrzpdf,Luma public search (query: founders),GENERAL-TECH post-week,strong,2,GENERAL-TECH post-week,,Not stated (unverified),Free,Registration requires approval,Registration requires approval,2026-09-10 (this pass),4,Excluded-general-tech,Registration status/eligibility not fully verified.,adsrzpdf,"Nebula Founders (nebulafounders.com) is a founder-built community where entrepreneurs connect, share real experiences, and help each other grow.",connect,"ecosystem-primary (Luma registration page, 2026-09-10)",yes
CW-0017,official-838,"Preciously, the Planet: A Climate Week Opening Gathering | Plastic & Clothing Upcycling Workshop",2026-09-19,11:00am-05:00pm,America/New_York (assumed; NYC listing),406A Comfort Road,,Manhattan,"Climate Cafe NYC, Climate Imaginarium, Precious Plastic NYC, Juliana Castaneda",https://www.climateweeknyc.org/event-search/preciously-the-planet-a-climate-week-opening-gathering-plastic-clothing-upcycling-workshop?hsLang=en,https://luma.com/l69s330g,climateweeknyc.org/event-search (official),In-person,strong,3,industrial decarbonization / manufacturing  [secondary: cities / urban systems],,Not stated on official listing (unverified),unknown,Public event on official directory; eligibility not inferred,"Registration availability not observed; Public event (official page, 2026-09-10)",2026-09-10 (this pass),5,Excluded-non-commercial,Registration status/price/eligibility not verified.,preciously-the-planet-a-climate-week-opening-gathering-plastic-clothing-upcycling-workshop,,,directory-tag only (description not retrieved),no
CW-0041,official-838,Climate Cafe + Ribbon Upcycling Workshop At Street Works Earth Festival,2026-09-20,01:00pm-03:00pm,America/New_York (assumed; NYC listing),76-09 34th Ave.,,Queens,"Climate Cafe NYC, Climate Imaginarium & Climate Psychology Alliance of North America",https://www.climateweeknyc.org/event-search/climate-cafe-ribbon-upcycling-workshop-at-street-works-earth-festival?hsLang=en,https://luma.com/climate-dc7c,climateweeknyc.org/event-search (official),In-person,medium,3,industrial decarbonization / manufacturing  [secondary: cities / urban systems],,Not stated on official listing (unverified),unknown,Public event on official directory; eligibility not inferred,"Registration availability not observed; Public event (official page, 2026-09-10)",2026-09-10 (this pass),4,Excluded-non-commercial,Registration status/price/eligibility not verified.,climate-cafe-ribbon-upcycling-workshop-at-street-works-earth-festival,"01:00pm - 03:00pm, Sunday, September 20, 2026 76-09 34th Ave., Queens, Jackson Heights, New York, 11372, United States Public event Register now ​Join Climate Cafe NYC × Climate Psychology Alliance of North America × Climate Imaginarium for a climate cafe and ribbon upcycling workshop! We'll have a meaningful conversation to process climate emotions and our feelings about consumerism as we hand craft gorgeous accessories. No experience necessary — we'll provide all of the materials. Fabric will ",,primary-page (official description parsed 2026-09-10),no
CW-0036,official-838,"Reawakening Humanity’s Sacred Connection with Earth- - Encounters to co-create a future with greater love, courage, and action",2026-09-20,08:00am-05:30pm,America/New_York (assumed; NYC listing),Columbia University,,Manhattan,Fetzer Institute's Environment Collaborative,https://www.climateweeknyc.org/event-search/reawakening-humanitys-sacred-connection-with-earth-encounters-to-co-create-a-future-with-greater-love-courage-and-action?hsLang=en,https://fetzer.org/climate-week/?preview=true,climateweeknyc.org/event-search (official),In-person,medium,1,  [secondary: cities / urban systems],,Not stated on official listing (unverified),unknown,Public event on official directory; eligibility not inferred,"Registration availability not observed; Public event (official page, 2026-09-10)",2026-09-10 (this pass),2,Excluded-non-commercial,Registration status/price/eligibility not verified.,reawakening-humanitys-sacred-connection-with-earth-encounters-to-co-create-a-future-with-greater-love-courage-and-action,"08:00am - 05:30pm, Sunday, September 20, 2026 Columbia University, The Lee Bollinger Forum 601 W 125th St., Manhattan, New York, New York, 10027, United States Public event Register now An invitation to experience the presence of the spiritual/sacred within ourselves, with each other, all living things, and the Earth, as a vital component of our efforts to address the climate crisis. The agenda has been intentionally and thoughtfully crafted in reverence, hope, and collective wisdom both from an",breakfast; gathering; lunch,primary-page (official description parsed 2026-09-10),no
CW-0218,official-838,Climate Week NYC: Digital Activism Tech Lab @ Flushing Library - QPL,2026-09-22,03:30pm-04:30pm,America/New_York (assumed; NYC listing),41-17 Main Street,,Queens,Queens Public Library,https://www.climateweeknyc.org/event-search/climate-week-nyc-digital-activism-tech-lab-flushing-library-qpl?hsLang=en,https://www.queenslibrary.org/calendar/climate-week-nyc-digital-activism-tech-lab/001129-0726,climateweeknyc.org/event-search (official),In-person,medium,2,software / data / AI infrastructure,,Not stated on official listing (unverified),unknown,Public event on official directory; eligibility not inferred,"Registration availability not observed; Public event (official page, 2026-09-10)",2026-09-10 (this pass),3,Excluded-non-commercial,Registration status/price/eligibility not verified.,climate-week-nyc-digital-activism-tech-lab-flushing-library-qpl,"03:30pm - 04:30pm, Tuesday, September 22, 2026 41-17 Main Street, Queens, Flushing, New York, 11355, United States Public event Register now How can digital media inspire change? Through digital activism, teens will use Canva and Photoshop to create digital collages, posters, memes, and other visual media exploring topics such as sustainability, climate action, environmental issues, and AI. Along the way, they’ll learn how visual storytelling can raise awareness, encourage dialogue, and inspire ",,primary-page (official description parsed 2026-09-10),no
