candidate_name,status,official_host_events_exact_fragment,notes
Climate Group,official_host_name,33,Appears as official host fragment on 33 event(s); not automatically a prospect.
Holland Bikes,official_host_name,10,Appears as official host fragment on 10 event(s); not automatically a prospect.
Queens Public Library,official_host_name,24,Appears as official host fragment on 24 event(s); not automatically a prospect.
Solutions House,official_host_name,23,Appears as official host fragment on 23 event(s); not automatically a prospect.
Food Tank,official_host_name,13,Appears as official host fragment on 13 event(s); not automatically a prospect.
Waterfront Alliance,official_host_name,12,Appears as official host fragment on 12 event(s); not automatically a prospect.
XPRIZE Foundation,official_host_name,7,Appears as official host fragment on 7 event(s); not automatically a prospect.
Crux Alliance,has_corrected_profile,7,See company-research.csv
Holes in the Wall Collective,official_host_name,10,Appears as official host fragment on 10 event(s); not automatically a prospect.
City Harvest,official_host_name,6,Appears as official host fragment on 6 event(s); not automatically a prospect.
Climate Cafe NYC,official_host_name,9,Appears as official host fragment on 9 event(s); not automatically a prospect.
Flood Sensor Aunty,official_host_name,4,Appears as official host fragment on 4 event(s); not automatically a prospect.
Southern Environmental Law Center,official_host_name,5,Appears as official host fragment on 5 event(s); not automatically a prospect.
Sustaining All Life,official_host_name,15,Appears as official host fragment on 15 event(s); not automatically a prospect.
The International Council on Clean Transportation,official_host_name,3,Appears as official host fragment on 3 event(s); not automatically a prospect.
ACT Group,official_host_name,3,Appears as official host fragment on 3 event(s); not automatically a prospect.
Building Energy Exchange,official_host_name,4,Appears as official host fragment on 4 event(s); not automatically a prospect.
Business Council for Sustainable Energy,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
C2ES,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
CMCC Foundation,official_host_name,4,Appears as official host fragment on 4 event(s); not automatically a prospect.
CleanMax,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
Climate Imaginarium,official_host_name,8,Appears as official host fragment on 8 event(s); not automatically a prospect.
Energy,generic_token_not_an_entity,0,Too generic to treat as an organization.
Fordham University,official_host_name,3,Appears as official host fragment on 3 event(s); not automatically a prospect.
Moms Clean Air Force,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
Parking Reform Network,official_host_name,3,Appears as official host fragment on 3 event(s); not automatically a prospect.
PlanetHAUS,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
Rise & Shine Foundation,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
STX Group,has_corrected_profile,2,See company-research.csv
Sun Valley Forum,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
United Nations Foundation,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
Whole Foods Market,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
the Planetary Health Alliance,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
1.5°Climate,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
3FWILD,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
AECOM,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
AECOM Advisory,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
AIANY Committee on the Environment (COTE),official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
AICPA,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Accion International,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Accounting for Sustainability (A4S),official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Action for Sustainable Development,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Adapt Equity,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Advanced Energy Group,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
Aga Khan Foundation USA | Waterfront Alliance | Open House New York,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Alaska Wilderness League,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Alliance of Bioversity International & CIAT,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Ambrook,has_corrected_profile,2,See company-research.csv
American Farmland Trust,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
American Forests,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
American Planning Association NY Metro Chapter's Environment,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
American South Asian Network (ASAN),official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Amy Lee Flower,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Aquatic Foods (SAAF),official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Arbor Day Foundation,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
Artichoke Dance Company,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Article One,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Ashurst Perkins Coie x Avalanche Energy x Idemitsu Americas Holdings Corporation,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Avina Foundation,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Battery Park City Authority,official_host_name,6,Appears as official host fragment on 6 event(s); not automatically a prospect.
Ben Tumin (Skipped History),official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Bezos Earth Fund,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Big Reuse at Queens Public Library (QPL),official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Blackhorn Ventures,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Bracewell LLP,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Brand Singapore led by the Ministry of Trade & Industry of Singapore (MTI),unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Bridge Green Upcycle,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Broadscale Group,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Broadway Climate Summit,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Broadway Green Alliance,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Broadway Mall Association,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Bronx River Alliance,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
Business Iceland,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
C40,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
CEART,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
CGIAR Sustainable Animal,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
CIMA,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
CLASP,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
CRS,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
CUE Art,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
California Governor’s Office of Land Use,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
California Sustainable Winegrowing Alliance & California Wines,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Camille Tagle,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Campus Deep Tech & NY Tech Alliance,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Can Manufacturers Institute,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Canary Media,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Castle Hill YMCA,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Center for Climate Integrity,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Center for Earth Ethics,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Center for Resource Solutions  |  NERA,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Center for Sustainable Urban Development,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Circular Supply Chain Network,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
City Parks Foundation & LymeLnk,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
CleanCapital,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Clim-Eat & Laurie M. Tisch Center for Food,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Climate Central,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Climate Film Festival,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
Climate Futures Studio,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Climate Imaginarium & Climate Psychology Alliance of North America,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Climate Innovation (LCI),official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Climate Network,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Climate Salon,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Climate Town & Drilled Media,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
ClimateHaven's Water Innovation Hub,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Co-Founder,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Columbia Climate School,official_host_name,4,Appears as official host fragment on 4 event(s); not automatically a prospect.
Columbia Climate School & Center on Global Energy Policy,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Community Climate Hub (formerly Zero Waste NYC),official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
ConcreteZero,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Coney Island Creek International Coastal Clean-up Coalition,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Consulate General of Denmark in New York,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
CookUnity,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Copenhagen Capacity,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Cornell Atkinson Center for Sustainability,official_host_name,6,Appears as official host fragment on 6 event(s); not automatically a prospect.
Cornell SC Johnson College of Business,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Cornell University's New York State Water Resources Institute,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Creative Enterprise Leadership,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
DC Environmental Film Festival,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
DEPLOY,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
Dartmouth Climate Collaborative,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
Dartmouth Climate Collaborative & Sustainability Office,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Data & Society,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Datamaran,has_corrected_profile,1,See company-research.csv
David Canassa Strategy & Advisory,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Department of Environmental Conservation (DEC) at Queens Public Library (QPL),official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
Depaul International,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Diestel Family Ranch,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Director of Youth Leadership &amp,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Dr. Neha Arora,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
ECOncrete,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
ERM,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Earth Finance,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Earthshare,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Eccon Soluções Ambientais,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
EcoAge,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Education,generic_token_not_an_entity,0,Too generic to treat as an organization.
Elena Adasheva,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Empire State Realty Trust,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Energy Economic Development Corporation,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
EnergyHub,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
EnergyTag,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Entertainment Network (SEEN) at Columbia's Climate School,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Environment,generic_token_not_an_entity,0,Too generic to treat as an organization.
Environmental Advocates NY,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Fashion,generic_token_not_an_entity,0,Too generic to treat as an organization.
Fed by Blue,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Fetzer Institute's Environment Collaborative,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Finance for the Future,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Fishbear Studios,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Food,generic_token_not_an_entity,0,Too generic to treat as an organization.
Food Systems Lab (J-WAFS) at MIT,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Football for future,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
Forum Energii,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Frankfurt Kurnit,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Friends of the Earth,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
Funders for Regenerative Agriculture,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Fusion Industry Association & CBRE,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Futerra,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Future Food Institute,official_host_name,5,Appears as official host fragment on 5 event(s); not automatically a prospect.
GBPN,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
GBTA Foundation,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
GRACE Communications Foundation,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Genus,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Global ABC / ICBC,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Global Alliance for the Future of Food,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Global Dairy Platform,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Global Fund for a New Economy,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Global Grids Catalyst,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
Globalizing,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
Goodwin Procter,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
Green Sports Alliance,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
GreenPortfolio,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Greenpeace International,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Greenwashed,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Groundswell,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Growald Climate Fund,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Guardians of Flushing Bay at Queens Public Library (QPL),official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Guidehouse,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
H2Au.co,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
HNTB,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Halter,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Health,generic_token_not_an_entity,0,Too generic to treat as an organization.
Health in Climate,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Helsinki Partners,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Henry Street Settlement,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Hollywood Climate Summit,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Hope Vaada Foundation,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Hudson Technologies,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Human Impacts Institute,official_host_name,12,Appears as official host fragment on 12 event(s); not automatically a prospect.
Hydro-Quebec US,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
ICF,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
ICSI/Resilience4Ports,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Ibirapitanga,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Impact Investing Initiative,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
ImpactARC,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Impax Asset Management,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Indigenous Climate Action,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
Infosphere,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
