issue_id,severity,subject,confused_with,finding,evidence,correction,score_impact
crux-false-merge,high,Crux Climate,Crux Alliance,"The original reducer aliased “crux alliance” and “crux” to Crux Climate, then scored Crux Climate 77 for hosting 7 official events.",All 7 official host rows are “Crux Alliance” with registration URLs on cruxalliance.org. Zero official host/title rows name Crux Climate or crux.com.,"Keep Crux Climate Inc. (crux.com, NYC/DC climate-fintech) and Crux Alliance (philanthropic/policy network) as separate entities. Remove the 7 hosted events from Crux Climate.",Crux Climate engagement points drop to 0; Crux Alliance is not a climate-software prospect.
scale-ai-phrase,high,Scale AI,English phrase “scale AI” / “at scale”,"Lane C flagged two description-mining hits as lowercase “scale AI” / “scaling… AI”, with no Scale AI org on speaker/host/sponsor lists.","Official host/title inventory has many “at Scale” events (utility-scale storage, landscape-scale, AI at Scale) and zero Scale AI hosts.",Treat Scale AI Climate Week involvement as none. Do not score phrase matches.,"Engagement 0; remain weak-fit, not a climate-software prospect."
google-generic-strings,high,Google / Alphabet,"Google Forms, Google Books, Android, protest venue",Prior ranking scored Google 58 from 5 event-text mentions.,"Lane C inspected those mentions as app-store, form, books, and a protest outside Google Chelsea offices. Official host/title inventory has zero Google hosts.",Do not treat navigation/vendor strings or adversarial protest as participation. Split Microsoft out of the combined Google profile.,Google engagement 0. Microsoft kept separate with unverified description-only notes.
watershed-scale-nature,medium,"Watershed (Watershed Technology, Inc.)",hydrological “watershed-scale”,Official title match is “Financing and Insuring Watershed-Scale Natural…” hosted by Ducks Unlimited and Munich Re.,No official host fragment equals Watershed the company.,Do not attach that event to Watershed Technology. Prior “4 event texts” remain unverified without descriptions.,"Engagement scored 0 in this revision (unknown, not invented)."
climate-x-fashion,medium,Climate X,phrase “climate x fashion leaders”,"Lane B already documented the only artifact match as a student-event phrase, not the company.",Zero official host/title rows for Climate X / climate-x.com.,No Climate Week relationship.,Engagement 0.
jupiter-power-vs-intelligence,medium,Jupiter Intelligence,Jupiter Power,"A fourth “jupiter” title is a fireside with Andy Bowman of Jupiter Power, hosted by Modo Energy.","Jupiter Intelligence hosts 3 official events with Impax, SAP, and Arcadis. Jupiter Power is a different energy company.",Do not merge Jupiter Power into Jupiter Intelligence.,Jupiter Intelligence keeps 3 hosted events only.
sp-followers-not-headcount,medium,S&P Global Sustainable1,LinkedIn follower count as employees,"Prior profile stored 45,691 LinkedIn followers as headcount.","Followers are not employees. Parent S&P Global has >40,000 employees; division headcount is unknown.","headcount_status=unknown for the division; do not reuse 45,691.",No score component used headcount; reporting corrected.
voltera-not-climate-software,medium,Voltera,climate-software company type,Prior ranking typed Voltera as company-climate-software and ranked it #1 at 82.,"Lane C describes EV charging/fleet energy infrastructure (EQT-backed), not a climate SaaS product.",entity_type=company-energy-infrastructure; ICP remains buyer.,Climate-software relevance reduced; still a high-engagement buyer.
ul-not-climate-software,medium,UL Solutions,climate-software company type,Prior ranking typed UL Solutions as company-climate-software at 78.,TIC firm with ULTRUS sustainability software; Silver Partner. Guidehouse roundtables are a different host.,"entity_type=company-tic; partner, not a climate-SaaS peer.",Relevance reduced vs prior 78.
google-microsoft-combined-profile,medium,Google,Microsoft,Lane C packed Alphabet and Microsoft into one JSON object.,Separate public companies with separate Climate Week evidence quality.,Two records. Microsoft engagement stays unverified in host/title.,Independent scores; neither inherits the other’s mentions.
carbon-mapper-is-host,low,Carbon Mapper,description-only participant,"Lane B called Carbon Mapper a description mention, not a host.",Official host field is exactly “Carbon Mapper” for “From Finding to Fixing: Accelerating Action on Methane Super-Emitters”.,"Relation type official_host, high confidence.",Engagement counted as hosted event.
ember-media-partner-discrepancy,low,Ember,Media Partner sponsor,"Coordinator brief called Ember a Media Partner; lane B found Media Partner names were JCDecaux et al., not Ember.",No Ember official host row. Speaker-org retained at medium confidence from prior speakers artifact.,Do not award sponsor points.,Speaker-only engagement.
