entity,relation_type,confidence,event_title,event_date,event_type,event_format,matched_host_fragment,host_field,source_url,evidence
Climate Group,official_host,high,"Opening Ceremony part one: Higher Stakes, Harder Choices.",20260921,,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/opening-ceremony-part-one-higher-stakes-harder-choices?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Climate Group,official_host,high,"Opening Ceremony part two: Real Momentum, Material Change.",20260921,,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/opening-ceremony-part-two-real-momentum-material-change?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Climate Group,official_host,high,"Flagship Three: The opportunity – who leads, who wins",20260921,,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/flagship-three-the-opportunity-who-leads-who-wins?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Climate Group,official_host,high,Flagship One: The challenge – navigating a world in flux,20260921,,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/flagship-one-the-challenge-navigating-a-world-in-flux?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Climate Group,official_host,high,"The super pollutant sprint: Local leadership, global results",20260921,Private,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/methane-matters-local-leadership-global-results?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Climate Group,official_host,high,Powering AI: who wins when demand outpaces the grid?,20260921,Private,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/powering-ai-who-wins-when-demand-outpaces-the-grid?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Climate Group,official_host,high,The age of permacrisis: how can governments keep up?,20260921,Private,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/investing-through-uncertainty-unlocking-climate-capital-when-it-matters-most?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Climate Group,official_host,high,Unlocking Grid Capacity for Electrified Road Transport,20260921,,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/accelerating-the-transition-what-will-it-take-to-scale-zero-emission-transport?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Climate Group,official_host,high,Worker powered climate action: how can labor and environmental movements  join forces?,20260921,Private,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/worker-powered-climate-action-how-can-labor-and-environmental-movements-join-forces?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Morningstar Sustainalytics,official_host,high,Morningstar Sustainalytics Sustainable Investing Forum,20260921,Public,In-person,Morningstar Sustainalytics,Morningstar Sustainalytics,https://www.climateweeknyc.org/event-search/morningstar-sustainalytics-sustainable-investing-forum?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Morningstar Sustainalytics.
Guidehouse,official_host,high,"Guidehouse Roundtable - From sustainability reporting to business control: data, risk, suppliers and AI",20260921,Private,In-person,Guidehouse,Guidehouse,https://www.climateweeknyc.org/event-search/4th-guidehouse-climate-week-roundtable-meeting?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Guidehouse.
Climate Group,official_host,high,Autonomous Cities: Preparing for Physical AI at Scale,20260921,Private,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/autonomous-cities-building-networks-for-mobility-at-scale?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Climate Group,official_host,high,Harnessing collaborative action to accelerate energy efficiency,20260921,Private,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/harnessing-collaborative-action-to-accelerate-energy-efficiency?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Climate Group,official_host,high,Climate Week NYC Opening Roundtable – Why electrification is good business,20260921,Private,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/climate-week-nyc-opening-roundtable-why-electrification-is-good-business?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Climate Group,official_host,high,Senior Leader Roundtable on AI Emissions Transparency,20260921,Private,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/senior-leader-roundtable-on-ai-emissions-transparency?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Climate Group,official_host,high,Scoping Scope 2: How Can Companies Prep for a Changing GHG Protocol?,20260921,Private,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/scoping-scope-2-how-can-companies-prep-for-a-changing-ghg-protocol?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Climate Group,official_host,high,Supercharging electromobility in Latin America: How can businesses collaborate across national borders to influence regional policy?,20260921,,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/supercharging-electromobility-in-latin-america-how-can-businesses-collaborate-across-national-borders-to-influence-regional-policy?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Climate Group,official_host,high,From pledge to panel: How Indonesia can deliver on its 100GW solar ambition,20260921,,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/from-pledge-to-panel-how-indonesia-can-deliver-on-its-100gw-solar-ambition?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Datamaran,official_host,high,Datamaran's Executive Forum at Climate Week NYC,20260922,Private,In-person,Datamaran,Datamaran,https://www.climateweeknyc.org/event-search/datamaran-at-climate-week?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Datamaran.
Climate Group,official_host,high,Flagship Two: The choice – committing to competitive pathways,20260922,,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/flagship-two-the-choice-committing-to-competitive-pathways?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Climate Group,official_host,high,The Food Forum: building resilient food systems for planet and profit,20260922,Private,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/the-food-forum-building-resilient-food-systems-for-planet-and-profit?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
