artifact_category,artifact_path,row_class_or_scope,count,disposition,target_use_case,rationale,astra_action
Company Research (Corrected),paul-company-research-updated/company-research.json,Entire File (26 scored company profiles),26,RESHAPE,Use Case 1 (Reference) & Use Case 2,Built under flawed climate software vendor frame. 0/26 fit Seed Midwest CRO ICP. Contains 2 climate-risk data providers (Jupiter Climate X) and key partner intelligence.,Do not present as CRO prospect pipeline. Extract Jupiter and Climate X as niche case studies; reference enterprise names as non-target benchmarks.
Company Research (Corrected),paul-company-research-updated/company-research.json,Mega-Corps & Hyperscalers (Google Microsoft Salesforce),3,DROP,Neither,Massive public tech giants (83k to 228k employees). Completely irrelevant as fractional CRO buyers; cannot buy fractional services.,Omit from CRO prospect pipeline; include in appendix only as explicit non-fit examples.
Company Research (Corrected),paul-company-research-updated/company-research.json,Testing Inspection & Certification (TIC) & Large Infra (UL Solutions Sunrun CoreWeave),3,DROP,Neither,UL Solutions is 14k+ employee public TIC; Sunrun is 9k employee public solar; CoreWeave is 2.1k public AI infra. Wrong org size and business model.,Drop from CRO pipeline. Cite UL Solutions as proof of prior geographic false-positive (Midwest HQ but 14k employees).
Company Research (Corrected),paul-company-research-updated/company-research.json,Private Equity & Large Acquired Platforms (Wood Mackenzie STX Group Morningstar Sustainalytics Kayrros),4,DROP,Neither,PE-owned or corporate subsidiaries (400 to 2900+ headcount or acquired like Kayrros). Mature sales orgs; not early-stage founder-led.,Exclude from CRO target lists; do not reopen acquisition or PE research.
Company Research (Corrected),paul-company-research-updated/company-research.json,Nonprofits Think Tanks & Coalitions (Crux Alliance Carbon Mapper Ember Apolitical),4,DROP,Neither,Nonprofit 501(c)(3) entities and policy networks. They do not have commercial revenue operations or quota-bearing sales motions.,Exclude from CRO pipeline. Keep Crux Alliance vs Crux Climate distinction preserved.
Company Research (Corrected),paul-company-research-updated/company-research.json,Growth Stage / Series B & C Climate Tech (Watershed Datamaran Crux Climate Ambrook Voltera Octopus/Kraken),6,DROP,Neither,Well past Seed stage (Series B/C or PE-backed $50M to $239M+ raised). Employ full-time VPs of Sales and large commercial teams.,Drop from active CRO prospecting. Treat as market landscape references only.
Company Research (Corrected),paul-company-research-updated/company-research.json,Climate-Risk Data Providers Niche (Jupiter Intelligence Climate X),2,RESHAPE,Use Case 1 (Niche Carve-Out) & Use Case 2,Both match the specific two climate-risk data providers niche mandate. Jupiter is Series C (53 HC CA); Climate X is Series A (89 HC UK).,Present as named niche exceptions. Frame for strategic advisory or specialized commercial acceleration distinct from core Midwest Seed pipeline.
Company Research (Corrected),paul-company-research-updated/company-research.json,Early-Stage Software & Intelligence (Polecat),1,RESHAPE,Use Case 1 (Secondary),24 to 30 headcount fits size band but Series A was 8 years ago and UK-based. Borderline turnaround or niche data intelligence fit.,List as secondary/contingent profile; verify current operating status.
Company Research (Corrected),paul-company-research-updated/candidate-universe-status.csv,Official Host Names (e.g. Climate Group Queens Public Library museums),336,DROP,Neither,Official event host fragments mechanically extracted from official 838 calendar. 95%+ are public bodies universities NGOs or cultural institutions.,Do not attempt to enrich or score as CRO prospects; keep as event host metadata only.
Company Research (Corrected),paul-company-research-updated/candidate-universe-status.csv,Generic Keyword Tokens & Phrase Matches (Scale AI matches climate etc.),13,DROP,Neither,Linguistic false-positives from regex scanning event titles/descriptions (e.g. at scale Google meet). Not real companies.,Permanently discard; do not include in any presentation or scoreboard.
