record_id,origin,title,date_local,time_local,timezone,venue,neighborhood,borough,host,official_url,registration_url,source_calendars,format,net_signal,icp_score,icp_fit_rationale,confirmed_people_orgs,target_audience,price_currency,access_requirements,observed_registration_status,observation_time,rank_score,rank_tier,remaining_uncertainty,slug,official_desc_snippet,networking_evidence,evidence_level,desc_has_commercial
ECO-im4qf8k8,ecosystem-luma,Columbia Climate School Global Impact Lab: Community Kickoff & Mixer,2026-09-16,15:30–17:30,America/New_York,,Upper Manhattan,Manhattan,"Columbia Climate School, Global Impact Lab",,https://luma.com/im4qf8k8,ClimateTechList calendar (lu.ma/climate-week),Kickoff + mixer,strong,5,Kickoff + mixer,,Not stated (unverified),Free (listed ticket),Registration available subject to listed capacity/status; eligibility not independently established.,Sold out (Luma primary page),2026-09-10T22:13:01.474475+00:00,7,Qualified,Registration status/eligibility not fully verified.,im4qf8k8,"Join us for an open networking event featuring the next generation of climate innovations from Columbia researchers, faculty, and startups! Come see the climate challenge from every angle ahead of Climate Week NYC.The week before Climate Week NYC, the Columbia Climate School’s Global Impact Lab is opening its doors for a community kickoff. Join us for an afternoon dedicated to introducing climate initiatives grounded in research!
Climate challenges are impacting people and places everywhere, and require approaches that extend beyond politics and industry silos. Our Global Impact Lab teams tack",network,ecosystem-primary (Luma structured event data independently verified 2026-09-10),yes
ECO-gtealoor,ecosystem-luma,Climate Week Kickoff Summit: Decarbonizing Real Estate,2026-09-17,08:00–15:30,America/New_York,Perkins Eastman,,,"Scott Donachie, Muuku, Gustavo & Vitor",,https://luma.com/gtealoor,ClimateTechList calendar (lu.ma/climate-week),Summit,strong,7,Summit,,Not stated (unverified),USD 500.00 (listed paid ticket; check ticket-specific conditions),Ticket-specific: USD 500 non-member ticket is listed without approval; free speaker/member categories require approval. Confirm selected ticket availability; no admission guarantee.,Registration open; approval depends on ticket category (Luma primary page),2026-09-10T22:13:01.474475+00:00,9,Strong-qualified,"Registration status/eligibility not fully verified. Earlier blanket sold-out label was incorrect: a speaker ticket name contained ""sold out""; event-level primary registration state is open.",gtealoor,"Summit Agenda
Decarbonizing NYC Buildings: Compliance, Capital & Technology
9:00 AM – 9:10 AM
Welcome & Opening Remarks: Setting the Stage for Deep Decarbonization
Speakers:
Alkis Klimathianos, Co-Managing Principal, Perkins Eastman Linkedin
9:10 AM – 9:50 AM
Navigating NYC Building Compliance and Decarbonization
Building decarbonization roadmaps, compliance planning, financing electrification, state incentives, and grid readiness.
Moderator: Jordana Viuker, Senior Associate, Perkins Eastman
Lindsay Robbins, Senior Director of Market Innovation & Sustainability, Community Preservation Corporat",,ecosystem-primary (Luma structured event data independently verified 2026-09-10),yes
ECO-aec93244,ecosystem-luma,(pre)NY Climate Week Founder Speed Matching,2026-09-18,08:30–10:30,America/New_York,,East Village,,C2FM (Climate Co-Founder Matching),,https://luma.com/aec93244,CTVC guide (luma.com/nycwguide2026),Networking / speed matching,strong,6,Networking / speed matching,,Not stated (unverified),Free (listed ticket),Host approval required; eligibility not independently established.,Registration open; approval required (Luma primary page),2026-09-10T22:13:01.474475+00:00,8,Strong-qualified,Registration status/eligibility not fully verified.,aec93244,"Looking for a co-founder to build a climate startup with? C2FM's founder speed matching format is going NYC-wide for the first time.
Here's how it works:
You'll apply by answering a few quick questions, and C2FM's founder matching algorithm will decide who you are most compatible with as a co-founder.
You'll go through 10 rounds of 5-minute conversations with founders who could be a real fit.
After each round, you mark yes or no on the people you met.
When it's a mutual yes, we make the intro.
This one's built for solo founders looking for a co-founder, operators with the itch to build somethi",,ecosystem-primary (Luma structured event data independently verified 2026-09-10),yes
ECO-9fzon3m7,ecosystem-luma,Climate Stakeholder Gathering: NYCW 2026,2026-09-19,21:00–22:00,America/New_York,"New York, NY",,,,,https://luma.com/9fzon3m7,ClimateTechList calendar (lu.ma/climate-week),Gathering,medium,3,Gathering,,Not stated (unverified),USD 19.00 (listed paid ticket; check ticket-specific conditions),Host approval required; eligibility not independently established.,Registration open; approval required (Luma primary page),2026-09-10T22:13:01.474475+00:00,4,Qualified,Registration status/eligibility not fully verified.,9fzon3m7,"Event Description
Climate change is a global, dynamic, complex problem. To solve the problem at scale, in time, with limited resources, we need stakeholder engagement with different responsibilities.
The networking mixer is designed to bring together climate founders, investors, builders, and operators in a friendly gathering place. So that people are able to listen, question, and learn from different perspectives.
To maximize your networking experience, we highly recommend that each participant prepare 3-5 small lead magnets(resources, jobs, people, tools, etc) to others who are looking for s",,ecosystem-primary (Luma structured event data independently verified 2026-09-10),no
CW-0035,official-838,Lucid Award- Winning Electric Vehicle Demo Drives,2026-09-20,10:00am-01:00pm,America/New_York (assumed; NYC listing),2 9th Avenue,,Manhattan,Lucid Motors,https://www.climateweeknyc.org/event-search/lucid-award-winning-electric-vehicle-demo-drives?hsLang=en,https://tinyurl.com/5bchm8b7,climateweeknyc.org/event-search (official),In-person,strong,3,software / data / AI infrastructure  [secondary: transport / mobility],,Not stated on official listing (unverified),unknown,Public event on official directory; eligibility not inferred,"Registration availability not observed; Public event (official page, 2026-09-10)",2026-09-10 (this pass),5,Qualified,Registration status/price/eligibility not verified.,lucid-award-winning-electric-vehicle-demo-drives,"10:00am - 01:00pm, Sunday, September 20, 2026 2 9th Avenue, Manhattan, New York, New York, 10014, United States Public event Register now In support of Climate Week, Lucid is delighted to invite you for an exclusive demo drive experience in our award-winning electric Lucid Air and Lucid Gravity SUV vehicles. Experience the Lucid difference: a rare combination of exceptional range, space, performance, and technology like nothing else on the road. Electric vehicles are a critical component of redu",demo,primary-page (official description parsed 2026-09-10),yes
ECO-fd2ac3lo,ecosystem-luma,2026 Venture For ClimateTech Innovation Showcase,2026-09-21,11:00–15:00,America/New_York,Newlab,Brooklyn Navy Yard,Brooklyn,Venture For ClimateTech / Newlab,,https://luma.com/fd2ac3lo,CTVC/Currence/Planeteer NYCW guide (luma.com/nycwguide2026) + prior shortlist,Expo / Demo,strong,7,Expo / Demo,,Not stated (unverified),Free (listed ticket),Host approval required; eligibility not independently established.,Registration open; approval required (Luma primary page),2026-09-10T22:13:01.474475+00:00,9,Strong-qualified,Registration status/eligibility not fully verified.,fd2ac3lo,"We’re kicking off Climate Week NYC with an exciting event featuring the latest climate technology solutions. Join the For ClimateTech team at Newlab for an immersive day of pitches, panels, and networking opportunities, bringing together over 100 innovators, investors, industry leaders, hardware experts, manufacturers, and more to showcase the latest advancements in climate technology.
Hear from 10 innovators from Venture For ClimateTech (V4C)'s 6th Cohort who are developing climate solutions across four key sectors: Buildings, Transportation, the Grid, and Industry.
We invite you to come lear","Primary event description: immersive day of pitches, panels, and networking opportunities.",ecosystem-primary (Luma structured event data independently verified 2026-09-10),yes
ECO-uu8tlb94,ecosystem-luma,Are targets the wrong starting point?,2026-09-21,08:30–10:30,America/New_York,,Midtown Manhattan,Manhattan,Robert Hoglund,,https://luma.com/uu8tlb94,ClimateTechList calendar (lu.ma/climate-week),Discussion,medium,5,Discussion,,Not stated (unverified),Free (listed ticket),Host approval required; eligibility not independently established.,Registration open; approval required (Luma primary page),2026-09-10T22:13:01.474475+00:00,6,Qualified,Registration status/eligibility not fully verified. Also on official directory (row CW-0136) but not auto-qualified by the theme/format filter; retained on ecosystem evidence.,uu8tlb94,"Roundtable on the future of corporate climate action
Are targets the wrong starting point?
Corporate climate action has been built around top-down targets. These create discipline, but may also push companies to prioritize what counts over what matters.
A contrasting approach starts with capabilities, but tests them against the transition we are trying to build. Companies identify what they can actually change, where they have leverage, and where they can play a meaningful role. That role must be understood in relation to system transformation, not only what shows up neatly in the company’s GH",roundtable,ecosystem-primary (Luma structured event data independently verified 2026-09-10),no
ECO-csoplus1-breakfast,ecosystem-luma,CSO+1 Breakfast: The Unusual Suspects,2026-09-21,08:00–09:15,America/New_York,,Midtown South,,REGEN HOUSE,,https://luma.com/CSOplus1-breakfast,ClimateTechList calendar (lu.ma/climate-week),Breakfast,strong,4,Breakfast,,Not stated (unverified),Free (listed ticket),"Host approval required; eligibility not independently established. Invitation-only; each Chief Sustainability Officer must bring a procurement, finance, sales, or operations counterpart.",Registration open; approval required (Luma primary page),2026-09-10T22:13:01.474475+00:00,6,Qualified,Registration status/eligibility not fully verified.,csoplus1-breakfast,"Our annual invitation-only farm-fresh breakfast kickoff to Climate Week. This year, each Chief Sustainability Officer must bring a counterpart from their company to secure a seat: a business leader from procurement, finance, sales, or operations. Sustainability goals cannot be achieved without cross-functional alliances, yet it is rare that everyone sits down at a single table to discuss commercials, contracts, and coordinated action. If you’re interested in driving real change and practical business value with your peers, customers and suppliers... pull up a chair.",breakfast,ecosystem-primary (Luma structured event data independently verified 2026-09-10),no
ECO-p4hl3mtu,ecosystem-luma,Carbon Removal Community Reception: Climate Week NYC Edition!,2026-09-21,18:00–20:00,America/New_York,New York (address obfuscated until approval),,,Carbon Business Council,,https://luma.com/p4hl3mtu,Luma public search (query: climate week),carbon-removal/reception,strong,5,carbon-removal/reception,,Not stated (unverified),Free (listed ticket),Host approval required; eligibility not independently established.,Registration open; approval required (Luma primary page),2026-09-10T22:13:01.474475+00:00,7,Qualified,Registration status/eligibility not fully verified.,p4hl3mtu,"Come join The Carbon Business Council, Carbon180, Carbon Capture Coalition, Carbon Removal Canada, Carbon Removal Alliance,  Carbon to Sea, Remove, and XPRIZE on Monday, September 21 for a carbon removal community reception at the opening of Climate Week NYC! Connect with other people passionate about carbon removal and get excited for the week ahead.
The event kicks off at 6pm.",,ecosystem-primary (Luma structured event data independently verified 2026-09-10),yes
ECO-l99e5v88,ecosystem-luma,"Climate Tech Demo Series - Collab Fund, Streetlife Ventures",2026-09-21,09:00–11:30,America/New_York,New York (obfuscated),,,Collaborative Fund; Streetlife Ventures,,https://luma.com/l99e5v88,Luma public search (query: climate tech),demo/venture,strong,4,founder/investor demo series (Collab Fund & Streetlife Ventures),,Not stated (unverified),Free (listed ticket),Host approval required; eligibility not independently established.,Registration open; approval required (Luma primary page),2026-09-10T22:13:01.474475+00:00,6,Qualified,Registration status/eligibility not fully verified.,l99e5v88,"Come see the freshest Climate Tech demos.
This NY Climate Week edition of the quarterly Climate Tech Demo Series will feature climate tech startups solving tough urban issues with the most advanced technology. Six startups will do live demos of their technology and share how they build from high performance computing to material science, hardware, and other innovations.
This is not a pitch night, but a chance to go deeper into the tech of climate solutions that can make tangible differences to the livability of our cities and planet. Demos will start at 9:30am:
🔋 Every Electric - Base Power bu",demo,ecosystem-primary (Luma structured event data independently verified 2026-09-10),yes
