rank,canonical_name,entity_type,icp_fit,disposition,score_total,climate_relevance,icp_score,engagement,access,old_score,score_delta,warm_path,unknowns
1,Voltera,company-energy-infrastructure,buyer,buyer_prospect,72,14,20,24,14,82,-10,featured: The Race to Build the Next Generation City: A Conversation with Voltera CEO Fran | sponsor (see evidence) | speaker-org,Thematic Session Partner from prior sponsors artifact (medium). Title+speaker evidence is high.
2,Jupiter Intelligence,company-climate-software,competitor,competitor_watch,68,30,8,18,12,60,8,hosts: Beyond the Heat Map: How Leading Investors Are Building Climate-Resilient Portfo | hosts: Everyone's Reporting Climate Risk. Who's Deciding? From Disclosed Risk to Defend | hosts: Affordable Resilience: Turning Climate Risk into Long-Term Value Through Adaptat | speaker-org,None material for the 3 official hosted events.
3,Morningstar Sustainalytics,company-esg-data,partner,partner_prospect,63,24,15,12,12,64,-1,hosts: Morningstar Sustainalytics Sustainable Investing Forum,None material for host evidence.
4,Polecat,company-climate-software,partner,partner_prospect,63,26,15,12,10,68,-5,sponsor (see evidence),Impact Partner tier from prior sponsors artifact (medium confidence); not an official host.
5,STX Group,company-environmental-markets,buyer,buyer_prospect,62,16,20,14,12,67,-5,hosts: Unlocking Value Chain Decarbonization with Market-Based Instruments | hosts: What’s Next for Data Center Decarbonization? Navigating the Many Facets to Reach,None for host evidence.
6,Carbon Mapper,nonprofit-data,partner,partner_prospect,61,22,15,12,12,68,-7,hosts: From Finding to Fixing: Accelerating Action on Methane Super-Emitters,None for host evidence (official host field is Carbon Mapper).
7,Datamaran,company-climate-software,competitor,competitor_watch,58,26,8,12,12,58,0,hosts: Datamaran's Executive Forum at Climate Week NYC,None material for host evidence.
8,Salesforce,company-enterprise-saas,competitor,competitor_watch,58,20,8,18,12,69,-11,sponsor (see evidence) | speaker-org,"Speaker (Sunya Norman) from prior speakers artifact, medium confidence."
9,Crux Climate,company-climate-fintech,partner,partner_prospect,57,26,15,0,16,77,-20,none confirmed in official host/title,"No verified Climate Week host, sponsor, or speaker. Prior 77 score was a false merge with Crux Alliance."
10,UL Solutions,company-tic,partner,partner_prospect,57,16,15,14,12,78,-21,sponsor (see evidence),Main-program speaker claimed in the old reduce is not independently re-verified; not scored.
11,BloombergNEF,research-division,partner,partner_prospect,55,20,15,6,14,65,-10,none confirmed in official host/title,"Speaker affiliation is from an event description, not the 70-speaker list."
12,CoreWeave,company-ai-infrastructure,buyer,buyer_prospect,54,10,22,8,14,,,speaker-org,"Speaker from prior speakers artifact, medium confidence. icp “strong-buyer” in lane C is retained as buyer with high ICP points, not a guaranteed deal."
13,Ember,nonprofit-data,partner,partner_prospect,53,20,15,8,10,62,-9,speaker-org,"Speaker from prior speakers artifact, medium confidence."
14,S&P Global Sustainable1,company-esg-data,partner,partner_prospect,53,22,15,0,16,64,-11,none confirmed in official host/title,Prior “2 event texts” not visible in official host/title; engagement left at 0.
15,Sunrun,company-residential-solar,buyer,buyer_prospect,50,14,20,4,12,63,-13,none confirmed in official host/title,Official host/title inventory does not contain “Sunrun”. Lane C presenting-sponsor claim left low-confidence; only 4 engagement points.
16,Apolitical,company-govtech,partner,adjacent_partner,49,10,15,14,10,76,-27,sponsor (see evidence),Thematic Session Partner from prior sponsors artifact (medium).
17,Wood Mackenzie,company-research-data,partner,partner_prospect,49,18,15,8,8,63,-14,speaker-org,Speaker not visible in official host/title; medium confidence.
18,Watershed,company-climate-software,competitor,competitor_watch,48,30,8,0,10,55,-7,none confirmed in official host/title,Climate Week engagement unknown without event descriptions; official host/title has only a hydrological false positive.
19,Ambrook,company-ag-fintech,partner,adjacent_partner,46,8,8,12,18,58,-12,hosts: Sweater Party | hosts: Corn Party,None for host evidence.
20,Climate X,company-climate-software,competitor,competitor_watch,44,30,8,0,6,49,-5,none confirmed in official host/title,None: official inventory has zero hits.
21,Kayrros,company-climate-software,competitor,competitor_watch,40,26,8,0,6,48,-8,none confirmed in official host/title,None: zero official host/title hits.
22,Octopus Energy Group / Kraken Technologies,company-energy-tech,partner,adjacent_partner,38,18,12,0,8,50,-12,none confirmed in official host/title,Lane C description mentions are not in official host/title; engagement 0 this revision.
23,Crux Alliance,nonprofit-policy,other,not_a_prospect,34,4,0,16,14,,,"hosts: Meet the ""Wonks"" Behind the Wins: A Networking Happy Hour | hosts: Super Pollutants to Super Solutions: Targeting Diesel Black Carbon for Climate a | hosts: From Evidence to Impact: Communicating the Case for Smart Policy | hosts: Win-Win Policies: Unlocking Investment for a Sustainable Future | hosts: Resisting the Easy Fix: The Limits of Coal as a National Response to Geopolitica | hosts: From Gridlock to Grid-Ready: A Coordinated Path to 35-by-35 | hosts: Powering Prosperity: Equitable Policy Design in the Global South",No company profile was originally researched; identity restored from official hosts.
24,Microsoft,company-hyperscaler,competitor,competitor_watch,34,18,8,0,8,,,none confirmed in official host/title,Lane C description/venue claims not in official host/title; engagement 0 this revision.
25,Google,company-hyperscaler,competitor,competitor_watch,32,16,8,0,8,58,-26,none confirmed in official host/title,No official host/title participation. Prior 5 mentions were generic/adversarial.
26,Scale AI,company-ai-data,weak-fit,not_a_prospect,15,2,3,0,10,55,-40,none confirmed in official host/title,None for Climate Week: no host/sponsor/speaker.
