record_id,origin,title,date_local,time_local,timezone,venue,neighborhood,borough,host,official_url,registration_url,source_calendars,format,net_signal,icp_score,icp_fit_rationale,confirmed_people_orgs,target_audience,price_currency,access_requirements,observed_registration_status,observation_time,rank_score,rank_tier,remaining_uncertainty,slug,official_desc_snippet,networking_evidence,evidence_level,desc_has_commercial
ECO-pkn0pfug,ecosystem-luma,"Investing in Change: Climate, Biodiversity, and the Agri-Food Future",2026-09-21,13:00-14:30,America/New_York,"Scandinavia House, 58 Park Ave, Murray Hill",,,The Nature Conservancy,,https://luma.com/pkn0pfug,Luma public search (query: climate investor),investor/agri-food,medium,4,investor/agri-food,,Not stated (unverified),Free,Registration requires approval,Registration requires approval,2026-09-10 (this pass),5,Candidate-pending-verification,Registration status/eligibility not fully verified.,pkn0pfug,"Climate change and nature loss are reshaping agricultural production around the world, altering water availability, shifting crop viability, and creating new…",,"ecosystem-primary (Luma registration page, 2026-09-10)",no
ECO-h43bxx1f,ecosystem-luma,When AI Meets the Physical World: Reinventing the Infrastructure Behind the Intelligence,2026-09-21,14:00-16:00,America/New_York,Manhattan (obfuscated),,,Climate Investment,,https://luma.com/h43bxx1f,Luma public search (query: climate tech),ai-infrastructure/vc,medium,8,ai-infrastructure/vc,,Not stated (unverified),Free,Registration requires approval,Registration requires approval,2026-09-10 (this pass),9,Candidate-pending-verification,Registration status/eligibility not fully verified.,h43bxx1f,"AI is driving a step-change in demand for power, compute, cooling and critical infrastructure at a time when those systems are already under strain. Grids need…",,"ecosystem-primary (Luma registration page, 2026-09-10)",yes
ECO-yaleclimateweek2026,ecosystem-luma,Yale @ Climate Week NYC 2026,2026-09-22,08:00-21:00,America/New_York,"The Yale Club, 50 Vanderbilt Ave, Midtown East",,,Yale Planetary Solutions,,https://luma.com/yaleclimateweek2026,Luma public search (query: climate week),ecosystem/university,medium,6,ecosystem/university,,Not stated (unverified),Free,Registration/approval required (Luma); eligibility not verified.,"Waitlist (Luma page, 2026-09-10)",2026-09-10 (this pass),7,Candidate-pending-verification,Registration status/eligibility not fully verified.,yaleclimateweek2026,"Yale @ Climate Week NYC 2026 will take place on Tuesday, September 22, from 8:00 AM to 9:00 PM. Click ""Register,"" then use the form to indicate which sessions…",,"ecosystem-primary (Luma registration page, 2026-09-10)",no
ECO-amse0fiu,ecosystem-luma,The Scaling Playbook: Roadmaps for Climate Tech's Next Chapter,2026-09-22,10:00-11:30,America/New_York,Financial District (obfuscated),,,Venture Climate Alliance; Jack Fritzinger,,https://luma.com/amse0fiu,Luma public search (query: climate tech),founder/scaling,medium,7,founder/scaling,,Not stated (unverified),Free,Registration/approval required (Luma); eligibility not verified.,"Waitlist (Luma page, 2026-09-10)",2026-09-10 (this pass),8,Candidate-pending-verification,Registration status/eligibility not fully verified.,amse0fiu,"Scaling climate technology from first-of-a-kind project to bankable, repeatable infrastructure is one of the hardest problems in the climate transition, and…",,"ecosystem-primary (Luma registration page, 2026-09-10)",yes
ECO-3py9lr35,ecosystem-luma,From Lab to Scale: Building the Northeast's Climate Innovation Pipeline,2026-09-22,12:30-13:30,America/New_York,"The Biome (SOSV), 7 Penn Plaza",Midtown,,Greentown Labs,,https://luma.com/3py9lr35,SOSV hub (sosv.com/join-sosv-at-climate-week-nyc-2026),Discussion + lunch,medium,7,Discussion + lunch,,Not stated (unverified),unknown,Registration/approval required (Luma); eligibility not verified.,Not observed,2026-09-10 (this pass),8,Candidate-pending-verification,Registration status/eligibility not fully verified.,3py9lr35,,,ecosystem-primary (Luma registration page),no
ECO-qkfpli2p,ecosystem-luma,The Data Center Dilemma: Building Smart Policy for the AI Era,2026-09-22,14:00-15:00,America/New_York,"140 W 62nd St, Manhattan",,,State and Local Climate Policy Symposium,,https://luma.com/qkfpli2p,Luma public search (query: energy data center),data-center/policy,medium,5,data-center/policy,,Not stated (unverified),Free,Registration/approval required (Luma); eligibility not verified.,Open/free registration,2026-09-10 (this pass),6,Candidate-pending-verification,Registration status/eligibility not fully verified.,qkfpli2p,The rapid expansion of artificial intelligence is fueling an unprecedented boom in data center construction—but the costs are increasingly being borne by the…,,"ecosystem-primary (Luma registration page, 2026-09-10)",yes
ECO-jnh0lxve,ecosystem-luma,"Investing in Resilience: Capital, Risk & Return",2026-09-22,14:00-16:00,America/New_York,"The Ned NoMad, 1170 Broadway, NoMad",,,Top Tier Impact,,https://luma.com/jnh0lxve,Luma public search (query: climate investor),investor/resilience,medium,6,investor/resilience,,Not stated (unverified),USD 150,Registration requires approval,Registration requires approval,2026-09-10 (this pass),7,Candidate-pending-verification,Registration status/eligibility not fully verified. Also on official directory (row CW-0347) but not auto-qualified by the theme/format filter; retained on ecosystem evidence.,jnh0lxve,"Climate Week brings thousands of investors, executives, and founders to New York. Far fewer events are designed specifically around the people making capital…",,"ecosystem-primary (Luma registration page, 2026-09-10)",yes
ECO-rsra440j,ecosystem-luma,WaterTech Futures 2.0: Unlocking Critical Minerals From Industrial Water,2026-09-22,17:00-19:00,America/New_York,Manhattan (obfuscated),,,ClimateHaven,,https://luma.com/rsra440j,Luma public search (query: climate tech),water/minerals/startup,medium,6,water/minerals/startup,,Not stated (unverified),Free,Registration requires approval,Registration requires approval,2026-09-10 (this pass),7,Candidate-pending-verification,Registration status/eligibility not fully verified. Also on official directory (row CW-0263) but not auto-qualified by the theme/format filter; retained on ecosystem evidence.,rsra440j,"Hosted by ClimateHaven’s Water Innovation Hub, in collaboration with Wilson Sonsini, Xylem, Burnt Island Ventures, and Echo River Capital.
WaterTech Futures…",,"ecosystem-primary (Luma registration page, 2026-09-10)",yes
ECO-0x2srxfd,ecosystem-luma,The Race to Recover America's Critical Minerals: When Startups and Industry Team Up,2026-09-23,08:00-11:00,America/New_York,"The Biome (SOSV), 7 Penn Plaza",Midtown,,"KOMPAS VC, SOSV, At One Ventures",,https://luma.com/0x2srxfd,SOSV hub (sosv.com/join-sosv-at-climate-week-nyc-2026),Breakfast fireside + networking,medium,7,critical minerals / industrials breakfast,"KOMPAS VC, SOSV, At One Ventures; Helios Matters and Atalco named as participants.",Not stated (unverified),unknown,Registration/approval required (Luma); eligibility not verified.,"Waitlist (Luma page, 2026-09-10)",2026-09-10 (this pass),8,Candidate-pending-verification,Registration status/eligibility not fully verified.,0x2srxfd,"The US imports the vast majority of the critical minerals that power its defense, aerospace, and semiconductor industries — but a meaningful share of what it…",,"ecosystem-primary (Luma registration page, 2026-09-10)",yes
ECO-e8angels-ohxt,ecosystem-luma,Capital for Resilience: Investing in Climate's Next Wave,2026-09-23,09:00-11:00,America/New_York,Midtown West (obfuscated),,,E8 Angels; Coeus Collective Ventures,,https://luma.com/e8angels-ohxt,Luma public search (query: climate investor),investor/resilience,medium,6,investor/resilience,,Not stated (unverified),Free,Registration/approval required (Luma); eligibility not verified.,"Waitlist (Luma page, 2026-09-10)",2026-09-10 (this pass),7,Candidate-pending-verification,Registration status/eligibility not fully verified. Also on official directory (row CW-0483) but not auto-qualified by the theme/format filter; retained on ecosystem evidence.,e8angels-ohxt,"Most climate capital still flows to mitigation. In 2023, adaptation and resilience drew roughly $65 billion worldwide against $1.78 trillion for mitigation,…",,"ecosystem-primary (Luma registration page, 2026-09-10)",yes
