canonical_name,legal_name,entity_type,category,website,hq,founded,stage,funding_summary,headcount,headcount_status,headcount_source,products,icp_fit,icp_notes,climate_relevance,icp_score,engagement,access,score_total,old_score,score_delta,disposition,profile_status,lane,nyc_presence,unknowns
Watershed,"Watershed Technology, Inc.",company-climate-software,Carbon accounting / enterprise sustainability SaaS,https://www.watershed.com,"San Francisco, California, USA",2019,Private — Series C,~$239M total raised; $100M Series C Feb 2024 at $1.8B valuation (company/Bloomberg). Secondary directories; treat as approximate.,370–550+ (conflicting 2026 directory estimates),estimate_conflict,LinkedIn/PitchBook/company-affiliated profiles in lane A; not company-reported.,"Enterprise carbon measurement/reporting, compliance, climate data APIs",competitor,Direct carbon-accounting competitor; possible standards/data partner.,30,8,0,10,48,55,-7,competitor_watch,retained_corrected,A,none_known,Climate Week engagement unknown without event descriptions; official host/title has only a hydrological false positive.
Polecat,Polecat Intelligence Ltd.,company-climate-software,Climate/ESG risk intelligence SaaS,https://www.polecat.com,"London, UK",2007,Private — Series A (last round ~8 years ago),~$4.1–5.3M total; directories disagree.,24–30 (LinkedIn/Latka),estimate,LinkedIn 2026; Latka 2024,ESG/climate/supply-chain risk monitoring from online data,partner,Small team; risk-data partner more than a large-budget buyer.,26,15,12,10,63,68,-5,partner_prospect,retained_corrected,A,event_week_sponsor,Impact Partner tier from prior sponsors artifact (medium confidence); not an official host.
Datamaran,Datamaran,company-climate-software,ESG policy/risk analysis SaaS,https://www.datamaran.com,"London, UK",2014,Private — Series C (Sep 2024),Series C ~$32.6–33M Morgan Stanley Expansion Capital,107–133 (LinkedIn/PitchBook/Latka conflict),estimate_conflict,Lane A directories 2026,"AI monitoring of ESG risks, regulation, and policy",competitor,Adjacent ESG-policy competitor; possible integration partner.,26,8,12,12,58,58,0,competitor_watch,retained_corrected,A,hosts_official_event,None material for host evidence.
UL Solutions,UL Solutions Inc.,company-tic,Testing/inspection/certification with ULTRUS sustainability software,https://www.ul.com,"Northbrook, Illinois, USA",1894,Public — NYSE: ULS,Public company,"~8,400 LinkedIn page vs 14,635 AltIndex via LinkedIn Aug 2026 — conflicting; not used as exact",estimate_conflict,Lane A AltIndex/LinkedIn,"Safety science, certification, compliance software including sustainability/ESG data services",partner,Certification/distribution partner; internal software buyer possible. Not a climate-SaaS peer.,16,15,14,12,57,78,-21,partner_prospect,retained_corrected,A,event_week_sponsor,Main-program speaker claimed in the old reduce is not independently re-verified; not scored.
Salesforce,"Salesforce, Inc.",company-enterprise-saas,Enterprise SaaS including Net Zero Cloud,https://www.salesforce.com/sustainability/,"San Francisco, California, USA",1999,Public — NYSE: CRM,Public mega-cap,"~83,823 (FY tracker; treat as approximate)",estimate,Lane A highperformr/FY metrics,Net Zero Cloud carbon accounting with Agentforce/Data Cloud,competitor,Platform competitor in carbon accounting; possible marketplace/channel partner.,20,8,18,12,58,69,-11,competitor_watch,retained_corrected,A,event_week_sponsor,"Speaker (Sunya Norman) from prior speakers artifact, medium confidence."
Morningstar Sustainalytics,Sustainalytics (Morningstar subsidiary),company-esg-data,ESG ratings and data,https://www.sustainalytics.com,"Amsterdam, Netherlands",1992,"Private subsidiary of Morningstar, Inc. (NASDAQ: MORN)",Acquired by Morningstar 2020; no independent rounds,701 (LinkedIn Jun 2026); revenue figure in prior profile is directory-grade,estimate,LinkedIn company page 2026-06-28,ESG Risk Ratings and corporate ESG data,partner,Ratings/data partner. Not Moody’s — prior lane A already corrected that identity.,24,15,12,12,63,64,-1,partner_prospect,retained_corrected,A,hosts_official_event,None material for host evidence.
S&P Global Sustainable1,Sustainable1 (division of S&P Global Inc.),company-esg-data,ESG and energy-transition data/analytics division,https://www.spglobal.com/sustainable1/,"New York, NY, USA",2021 (division),Division of public NYSE: SPGI,Parent public company; division not separately financed,"unknown (division). Prior 45,691 figure was LinkedIn followers, not employees. Parent >40,000.",unknown,corrected; followers discarded,"ESG scores, Trucost, physical climate risk (The Climate Service), CSA/DJSI",partner,Data-licensing partner; NYC HQ. Parent employees are not division employees.,22,15,0,16,53,64,-11,partner_prospect,retained_corrected,A,nyc_hq,Prior “2 event texts” not visible in official host/title; engagement left at 0.
Apolitical,Apolitical Group Limited,company-govtech,"Government learning-network SaaS (climate/AI courses are a theme, not the product category)",https://apolitical.com,"London, UK",2015,Private — grant/VC,~$13.78M total (CB Insights); last round ~2 years before research,95 (LinkedIn 2026); revenue ~$4.1M directory,estimate,LinkedIn/CB Insights,Learning network for public servants,partner,Distribution into government audiences; modest buyer. Not climate software.,10,15,14,10,49,76,-27,adjacent_partner,retained_corrected,A,event_week_sponsor,Thematic Session Partner from prior sponsors artifact (medium).
Jupiter Intelligence,Jupiter Intelligence,company-climate-software,Physical climate-risk analytics SaaS,https://www.jupiterintel.com,"San Mateo, California, USA",2017,Private — Series C (2021),~$88.5M total; last known equity $54M Series C 2021. No later round found as of 2026-09-10.,~53 LinkedIn; LeadIQ 51–200,estimate,LinkedIn 2026-09-10,Jupiter RiskSignal and related physical-risk products for FIs and corporates,competitor,Direct physical-risk competitor. Distinct from Jupiter Power.,30,8,18,12,68,60,8,competitor_watch,retained_corrected,B,hosts_official_event,None material for the 3 official hosted events.
Climate X,Climate X,company-climate-software,Physical climate-risk analytics SaaS,https://www.climate-x.com,"London, United Kingdom",2020,Private — Series A (Jun 2024),~$24.6–26M; $18M Series A led by GV,89 (LinkedIn),estimate,LinkedIn 2026-09-10,Spectra/Adapt/Carta physical-risk software,competitor,Direct competitor. No verified Climate Week role.,30,8,0,6,44,49,-5,competitor_watch,retained_corrected,B,none_known,None: official inventory has zero hits.
